city,state_name,lat,lng, population , population_proper ,density
Monowi,Nebraska,42.8307,-98.3296,1,1,1
Gross,Nebraska,42.9461,-98.5697,2,2,6
Lotsee,Oklahoma,36.1334,-96.2091,2,2,39
Warm River,Idaho,44.1183,-111.32,3,3,1
Hillsview,South Dakota,45.6642,-99.5607,3,3,1
White Rock,South Dakota,45.9248,-96.576,3,3,0
Lost Springs,Wyoming,42.7654,-104.9252,4,4,17
Ruso,North Dakota,47.8373,-100.9344,4,4,6
Hoot Owl,Oklahoma,36.36,-95.1214,4,4,26
Lily,South Dakota,45.1818,-97.6835,4,4,5
Thurmond,West Virginia,37.9607,-81.0795,5,5,20
Tavistock,New Jersey,39.8757,-75.0276,5,5,7
Cave,Missouri,39.0214,-91.0483,5,5,2
Funkley,Minnesota,47.7868,-94.4265,5,5,2
Freeport,Kansas,37.1988,-97.8544,5,5,9
Verdon,South Dakota,45.2442,-98.0992,5,5,7
Anoka,Nebraska,42.946,-98.8285,6,6,4
Lambert,Oklahoma,36.6832,-98.4237,6,6,20
Lowry,South Dakota,45.3155,-99.9812,6,6,9
Bergen,North Dakota,48.0038,-100.72,7,7,3
Grano,North Dakota,48.6153,-101.5887,7,7,8
Clayton,Idaho,44.2591,-114.4001,7,7,227
South Park View,Kentucky,38.1184,-85.7201,7,7,21
Lakeside,Colorado,39.7802,-105.0579,8,8,16
Wetonka,South Dakota,45.6242,-98.7717,8,8,12
Artas,South Dakota,45.8873,-99.8069,8,8,29
Loraine,North Dakota,48.8683,-101.5678,9,9,14
Perth,North Dakota,48.7149,-99.458,9,9,26
McMullen,Alabama,33.1481,-88.1757,9,9,31
Burton,Nebraska,42.9118,-99.5919,10,10,36
Centralia,Pennsylvania,40.8047,-76.3439,10,10,16
McBaine,Missouri,38.8831,-92.455,10,10,17
River Bend,Missouri,39.1841,-94.3941,10,10,2
Waldron,Kansas,37.0018,-98.1826,10,10,12
Farmer,South Dakota,43.7252,-97.689,10,10,46
Cottonwood,South Dakota,43.9657,-101.9021,10,10,4
Lake Buena Vista,Florida,28.3793,-81.5266,11,11,1
Pine Valley,New Jersey,39.7869,-74.9741,11,11,4
Dering Harbor,New York,41.0931,-72.3417,11,11,17
Knowles,Oklahoma,36.8731,-100.1931,11,11,24
Pillsbury,North Dakota,47.2071,-97.7959,12,12,18
Venturia,North Dakota,45.9971,-99.5479,12,12,41
Hansboro,North Dakota,48.9525,-99.3808,12,12,24
Churchs Ferry,North Dakota,48.2687,-99.1944,12,12,10
Bettles,Alaska,66.9064,-151.5377,12,12,2
Jefferson,Oklahoma,36.7203,-97.7909,12,12,16
Renfrow,Oklahoma,36.9248,-97.6571,12,12,48
Loveland,Oklahoma,34.3046,-98.7708,12,12,20
Kinbrae,Minnesota,43.8265,-95.4824,12,12,5
Weeki Wachee,Florida,28.517,-82.5775,13,13,4
Valley City,Illinois,39.7071,-90.6514,13,13,25
Kaskaskia,Illinois,37.9214,-89.9163,13,13,46
Champ,Missouri,38.7448,-90.4536,13,13,6
Cedar,Kansas,39.6573,-98.94,13,13,28
Kief,North Dakota,47.86,-100.5133,14,14,4
Hannah,North Dakota,48.9726,-98.6904,14,14,28
Le Roy,Iowa,40.8784,-93.5924,14,14,16
Corning,Missouri,40.2486,-95.4545,14,14,49
Bassett,Kansas,37.9064,-95.4076,14,14,85
Van Tassell,Wyoming,42.6643,-104.0913,15,15,3
Loma,North Dakota,48.6418,-98.5248,15,15,0
Bantry,North Dakota,48.4977,-100.6098,15,15,33
Valley-Hi,Pennsylvania,40.0299,-78.1917,15,15,11
Beaconsfield,Iowa,40.8076,-94.0507,15,15,8
Cooperton,Oklahoma,34.8662,-98.8759,15,15,11
Drummond,Idaho,43.9996,-111.3435,15,15,56
Barry,Minnesota,45.5582,-96.5603,15,15,23
Onaka,South Dakota,45.1912,-99.4659,15,15,22
Albee,South Dakota,45.0513,-96.5535,15,15,44
Gascoyne,North Dakota,46.119,-103.0788,16,16,6
Leith,North Dakota,46.3627,-101.6386,16,16,5
Bonanza,Colorado,38.2966,-106.1419,16,16,14
Dalton,Missouri,39.3976,-92.9921,16,16,34
Penalosa,Kansas,37.7161,-98.3198,16,16,90
Butler,South Dakota,45.262,-97.7117,16,16,21
Virgil,South Dakota,44.2909,-98.4276,16,16,6
Marineland,Florida,29.6648,-81.2138,17,17,24
